           0.00,           0.53,
           0.02,           0.55,
           0.04,           0.57,
           0.06,           0.59,
           0.08,           0.61,
           0.10,           0.63,
           0.12,           0.65,
           0.14,           0.67,
           0.16,           0.68,
           0.18,           0.70,
           0.20,           0.71,
           0.22,           0.72,
           0.24,           0.74,
           0.27,           0.75,
           0.29,           0.76,
           0.31,           0.76,
           0.33,           0.77,
           0.35,           0.78,
           0.37,           0.78,
           0.39,           0.78,
           0.41,           0.78,
           0.43,           0.78,
           0.45,           0.78,
           0.47,           0.78,
           0.49,           0.77,
           0.51,           0.77,
           0.53,           0.76,
           0.55,           0.75,
           0.57,           0.74,
           0.59,           0.72,
           0.61,           0.71,
           0.63,           0.69,
           0.65,           0.67,
           0.67,           0.65,
           0.69,           0.63,
           0.71,           0.60,
           0.73,           0.57,
           0.76,           0.54,
           0.78,           0.51,
           0.80,           0.48,
           0.82,           0.44,
           0.84,           0.40,
           0.86,           0.36,
           0.88,           0.32,
           0.90,           0.27,
           0.92,           0.22,
           0.94,           0.17,
           0.96,           0.12,
           0.98,           0.06,
           1.00,           0.00,
           0.00,          -5.00,
           0.02,          -4.90,
           0.04,          -4.79,
           0.06,          -4.69,
           0.08,          -4.57,
           0.10,          -4.43,
           0.12,          -4.24,
           0.14,          -4.01,
           0.16,          -3.71,
           0.18,          -3.32,
           0.20,          -2.85,
           0.22,          -2.28,
           0.24,          -1.61,
           0.27,          -0.86,
           0.29,          -0.03,
           0.31,           0.85,
           0.33,           1.78,
           0.35,           2.71,
           0.37,           3.62,
           0.39,           4.48,
           0.41,           5.27,
           0.43,           5.95,
           0.45,           6.51,
           0.47,           6.93,
           0.49,           7.19,
           0.51,           7.30,
           0.53,           7.24,
           0.55,           7.02,
           0.57,           6.67,
           0.59,           6.19,
           0.61,           5.60,
           0.63,           4.94,
           0.65,           4.24,
           0.67,           3.51,
           0.69,           2.79,
           0.71,           2.11,
           0.73,           1.49,
           0.76,           0.94,
           0.78,           0.48,
           0.80,           0.11,
           0.82,          -0.16,
           0.84,          -0.34,
           0.86,          -0.44,
           0.88,          -0.47,
           0.90,          -0.45,
           0.92,          -0.38,
           0.94,          -0.30,
           0.96,          -0.20,
           0.98,          -0.10,
           1.00,           0.00,
           3.00,          50.00,
