           0.00,           0.00,
           0.21,           0.00,
           0.42,           0.00,
           0.62,           0.00,
           0.83,           0.00,
           1.04,           0.00,
           1.25,           0.00,
           1.46,           0.00,
           1.67,           0.00,
           1.88,           0.00,
           2.08,           0.00,
           2.29,           0.00,
           2.50,           0.00,
           2.71,           0.00,
           2.92,           0.00,
           3.12,           0.00,
           3.33,           0.00,
           3.54,           0.00,
           3.75,           0.00,
           3.96,           0.00,
           4.17,           0.00,
           4.37,           0.00,
           4.58,           0.00,
           4.79,           0.00,
           5.00,           0.00,
           5.21,           0.00,
           5.42,           0.00,
           5.62,           0.00,
           5.83,           0.00,
           6.04,           0.00,
           6.25,           0.00,
           6.46,           0.00,
           6.67,           0.00,
           6.88,           0.00,
           7.08,           0.00,
           7.29,           0.00,
           7.50,           0.00,
           7.71,           0.00,
           7.92,           0.00,
           8.13,           0.00,
           8.33,           0.00,
           8.54,           0.00,
           8.75,           0.00,
           8.96,           0.00,
           9.17,           0.00,
           9.38,           0.00,
           9.58,           0.00,
           9.79,           0.00,
          10.00,           0.00,
           0.00,           0.00,
           0.21,           0.00,
           0.42,           0.01,
           0.62,           0.01,
           0.83,           0.02,
           1.04,           0.03,
           1.25,           0.05,
           1.46,           0.07,
           1.66,           0.09,
           1.87,           0.11,
           2.08,           0.14,
           2.28,           0.17,
           2.49,           0.20,
           2.70,           0.23,
           2.90,           0.27,
           3.10,           0.31,
           3.31,           0.35,
           3.51,           0.40,
           3.71,           0.44,
           3.92,           0.49,
           4.12,           0.55,
           4.32,           0.60,
           4.52,           0.66,
           4.72,           0.72,
           4.92,           0.78,
           5.11,           0.85,
           5.31,           0.92,
           5.51,           0.99,
           5.70,           1.06,
           5.90,           1.14,
           6.09,           1.22,
           6.28,           1.30,
           6.47,           1.39,
           6.66,           1.47,
           6.85,           1.56,
           7.04,           1.65,
           7.22,           1.75,
           7.41,           1.84,
           7.59,           1.94,
           7.77,           2.04,
           7.95,           2.15,
           8.13,           2.25,
           8.31,           2.36,
           8.49,           2.47,
           8.66,           2.58,
           8.84,           2.70,
           9.01,           2.82,
           9.18,           2.94,
           9.35,           3.06,
           0.00,           0.00,
           0.21,           0.00,
           0.42,           0.01,
           0.62,           0.02,
           0.83,           0.04,
           1.04,           0.07,
           1.24,           0.10,
           1.45,           0.13,
           1.65,           0.18,
           1.86,           0.22,
           2.06,           0.27,
           2.26,           0.33,
           2.46,           0.39,
           2.66,           0.46,
           2.85,           0.53,
           3.04,           0.61,
           3.23,           0.70,
           3.42,           0.78,
           3.61,           0.88,
           3.79,           0.98,
           3.97,           1.08,
           4.15,           1.19,
           4.33,           1.30,
           4.50,           1.42,
           4.67,           1.54,
           4.84,           1.66,
           5.00,           1.79,
           5.16,           1.93,
           5.31,           2.07,
           5.46,           2.21,
           5.61,           2.36,
           5.76,           2.51,
           5.90,           2.66,
           6.03,           2.82,
           6.16,           2.98,
           6.29,           3.15,
           6.41,           3.31,
           6.53,           3.49,
           6.65,           3.66,
           6.76,           3.84,
           6.86,           4.02,
           6.96,           4.20,
           7.05,           4.39,
           7.14,           4.58,
           7.23,           4.77,
           7.31,           4.96,
           7.38,           5.15,
           7.45,           5.35,
           7.52,           5.55,
           0.00,           0.00,
           0.21,           0.00,
           0.42,           0.02,
           0.62,           0.04,
           0.83,           0.07,
           1.03,           0.10,
           1.24,           0.15,
           1.44,           0.20,
           1.64,           0.26,
           1.83,           0.33,
           2.03,           0.41,
           2.22,           0.50,
           2.40,           0.59,
           2.59,           0.69,
           2.77,           0.80,
           2.94,           0.91,
           3.11,           1.03,
           3.27,           1.16,
           3.43,           1.30,
           3.59,           1.44,
           3.73,           1.58,
           3.88,           1.74,
           4.01,           1.89,
           4.14,           2.06,
           4.26,           2.23,
           4.38,           2.40,
           4.49,           2.58,
           4.59,           2.76,
           4.68,           2.94,
           4.77,           3.13,
           4.85,           3.33,
           4.92,           3.52,
           4.98,           3.72,
           5.04,           3.92,
           5.09,           4.12,
           5.13,           4.33,
           5.16,           4.54,
           5.18,           4.74,
           5.19,           4.95,
           5.20,           5.16,
           5.20,           5.37,
           5.19,           5.58,
           5.17,           5.78,
           5.14,           5.99,
           5.10,           6.20,
           5.06,           6.40,
           5.01,           6.60,
           4.95,           6.80,
           4.88,           7.00,
           0.00,           0.00,
           0.21,           0.01,
           0.42,           0.02,
           0.62,           0.05,
           0.83,           0.09,
           1.03,           0.14,
           1.23,           0.20,
           1.42,           0.27,
           1.62,           0.35,
           1.80,           0.45,
           1.98,           0.55,
           2.16,           0.66,
           2.33,           0.78,
           2.49,           0.91,
           2.65,           1.05,
           2.79,           1.20,
           2.93,           1.35,
           3.06,           1.52,
           3.19,           1.69,
           3.30,           1.86,
           3.40,           2.04,
           3.49,           2.23,
           3.58,           2.42,
           3.65,           2.62,
           3.71,           2.81,
           3.76,           3.02,
           3.80,           3.22,
           3.83,           3.43,
           3.85,           3.63,
           3.85,           3.84,
           3.85,           4.05,
           3.83,           4.26,
           3.81,           4.47,
           3.77,           4.67,
           3.72,           4.87,
           3.66,           5.07,
           3.59,           5.27,
           3.51,           5.46,
           3.41,           5.65,
           3.31,           5.83,
           3.20,           6.00,
           3.08,           6.17,
           2.95,           6.34,
           2.81,           6.49,
           2.66,           6.64,
           2.51,           6.78,
           2.35,           6.91,
           2.18,           7.03,
           2.00,           7.15,
           0.00,           0.00,
           0.21,           0.01,
           0.41,           0.03,
           0.62,           0.06,
           0.82,           0.11,
           1.02,           0.18,
           1.22,           0.25,
           1.40,           0.34,
           1.59,           0.45,
           1.76,           0.56,
           1.93,           0.69,
           2.08,           0.82,
           2.23,           0.97,
           2.37,           1.13,
           2.49,           1.29,
           2.61,           1.47,
           2.71,           1.65,
           2.79,           1.84,
           2.87,           2.03,
           2.93,           2.23,
           2.98,           2.43,
           3.01,           2.64,
           3.03,           2.85,
           3.04,           3.06,
           3.03,           3.26,
           3.01,           3.47,
           2.97,           3.68,
           2.92,           3.88,
           2.86,           4.08,
           2.78,           4.27,
           2.69,           4.46,
           2.59,           4.64,
           2.47,           4.81,
           2.35,           4.98,
           2.21,           5.13,
           2.06,           5.28,
           1.91,           5.42,
           1.74,           5.54,
           1.56,           5.65,
           1.38,           5.75,
           1.19,           5.84,
           1.00,           5.92,
           0.80,           5.98,
           0.59,           6.03,
           0.39,           6.06,
           0.18,           6.08,
          -0.03,           6.08,
          -0.24,           6.07,
          -0.44,           6.05,
           0.00,           0.00,
           0.20,           0.01,
           0.41,           0.03,
           0.61,           0.08,
           0.81,           0.14,
           1.01,           0.21,
           1.20,           0.31,
           1.38,           0.41,
           1.55,           0.54,
           1.71,           0.67,
           1.86,           0.82,
           1.99,           0.98,
           2.11,           1.15,
           2.22,           1.33,
           2.30,           1.52,
           2.38,           1.71,
           2.43,           1.91,
           2.47,           2.12,
           2.49,           2.32,
           2.50,           2.53,
           2.48,           2.74,
           2.45,           2.94,
           2.41,           3.15,
           2.34,           3.34,
           2.26,           3.54,
           2.17,           3.72,
           2.06,           3.90,
           1.94,           4.07,
           1.80,           4.23,
           1.65,           4.37,
           1.49,           4.50,
           1.32,           4.62,
           1.14,           4.73,
           0.96,           4.81,
           0.76,           4.89,
           0.56,           4.94,
           0.36,           4.98,
           0.15,           5.00,
          -0.06,           5.00,
          -0.26,           4.99,
          -0.47,           4.96,
          -0.68,           4.91,
          -0.88,           4.84,
          -1.07,           4.76,
          -1.26,           4.66,
          -1.43,           4.55,
          -1.60,           4.42,
          -1.75,           4.28,
          -1.89,           4.14,
           0.00,           0.00,
           0.20,           0.01,
           0.40,           0.04,
           0.60,           0.09,
           0.80,           0.16,
           1.00,           0.25,
           1.18,           0.36,
           1.35,           0.49,
           1.51,           0.63,
           1.65,           0.79,
           1.78,           0.95,
           1.89,           1.13,
           1.97,           1.32,
           2.04,           1.52,
           2.09,           1.72,
           2.12,           1.92,
           2.12,           2.13,
           2.11,           2.33,
           2.08,           2.53,
           2.02,           2.73,
           1.95,           2.93,
           1.85,           3.11,
           1.75,           3.29,
           1.62,           3.45,
           1.48,           3.61,
           1.32,           3.75,
           1.16,           3.87,
           0.98,           3.98,
           0.79,           4.07,
           0.60,           4.14,
           0.40,           4.20,
           0.20,           4.23,
          -0.01,           4.24,
          -0.21,           4.24,
          -0.42,           4.21,
          -0.62,           4.16,
